TIMESTAMP,TIMESTAMP_DATE,METRIC_CLEAN,LIFT_mean,LIFT_std,LIFT_count,LIFT_min,LIFT_max,DELTA_mean,DELTA_std,CONTROL__mean,EXPOSED__mean,CONTROL_N_sum,EXPOSED_N_sum,STATISTICAL_SIGNIFICANCE_mean,STATISTICAL_SIGNIFICANCE_min
2025-03-01,2025-03-01,More than Restaurant Aided Awareness: Health & Medicine,0.03213671875,0.42440996742579895,256,-1.0,2.54,-0.0180859375,0.17877491719242064,0.3692265625,0.3511171875,30979,81319,0.5431656285987654,0.002077904
2025-03-01,2025-03-01,First Choice Consideration,-0.005816406250000001,0.5206806193220779,256,-1.0,4.982,-0.02102734375,0.10371425315842939,0.2186015625,0.19759375,30979,81319,0.6088299093899371,0.008184988
2025-03-01,2025-03-01,More than Restaurant Aided Awareness: Flowers,0.10652734375,0.5374904205570215,256,-1.0,5.5,0.017109375,0.1324045929169007,0.29101171875,0.308109375,30979,81319,0.6123903440125,0.00047004
2025-03-01,2025-03-01,More than Restaurant Aided Awareness: Baby Supplies,0.0694921875,0.4015363631342965,256,-1.0,2.384,0.00728125,0.12550449956780316,0.32520703125,0.3325234375,30979,81319,0.6515421304906832,0.000752402
2025-03-01,2025-03-01,More than Restaurant Aided Awareness: Alcoholic Beverages,0.00603125,0.3195020006688104,256,-1.0,1.885,-0.01420703125,0.16426064924851638,0.38051171875,0.3663359375,30979,81319,0.5980916225493826,0.005603244
2025-03-01,2025-03-01,More than Restaurant Aided Awareness,0.0048125,0.27777929594356376,256,-1.0,1.73,-0.00519921875,0.20103343629653045,0.729484375,0.72431640625,30979,81319,0.5606179456265823,0.007227982
2025-03-01,2025-03-01,More than Restaurant Consideration,0.04312109375,0.4305576650413484,256,-1.0,4.69,0.01440625,0.20008707663238556,0.64048828125,0.65487109375,30979,81319,0.6195968949068323,0.006183108
2025-03-01,2025-03-01,More than Restaurant Aided Awareness: Fresh Food & Produce,0.0515078125,0.4539029436913432,256,-1.0,4.941,0.01257421875,0.1873661256956838,0.41095312500000003,0.423546875,30979,81319,0.6126679827839506,0.009899793
2025-03-01,2025-03-01,More than Restaurant Consideration: Alcoholic Beverages,-0.010816406249999999,0.3738387949270708,256,-1.0,3.333,-0.008359375,0.15161578035594175,0.32664453125,0.318265625,30979,81319,0.67772587005,0.006288949
2025-03-01,2025-03-01,Unaided Brand Awareness (First Mention),-0.0899375,0.3455317300489034,256,-1.0,1.764,-0.04143359375,0.11284750896142554,0.263140625,0.2216953125,30979,81319,0.617796278728395,0.023966499
2025-03-01,2025-03-01,More than Restaurant Consideration: Flowers,0.123390625,0.4955887721967184,256,-1.0,3.397,0.01998828125,0.15314187917173408,0.27876953125,0.29875390625,30979,81319,0.6023113029875776,0.02299503
2025-03-01,2025-03-01,More than Restaurant Consideration: Fresh Food & Produce,0.03453515625,0.39355745866263947,256,-1.0,3.267,0.015722656249999998,0.1823069519782044,0.3546171875,0.37029296875,30979,81319,0.565951523068323,0.00093678
2025-03-01,2025-03-01,More than Restaurant Consideration: Health & Medicine,0.037546875,0.32526307565162227,256,-1.0,1.589,0.0019921874999999996,0.1765191539279275,0.314578125,0.3165703125,30979,81319,0.5481757322298136,0.009612126
2025-03-01,2025-03-01,More than Restaurant Consideration: Household Essentials,0.11975,0.42610389048939235,256,-1.0,3.099,0.02037109375,0.1103565299842813,0.30869140625,0.32909375,30979,81319,0.6019979307375001,0.000899499
2025-03-01,2025-03-01,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,0.117125,0.7866241746583071,256,-1.0,11.423,0.02602734375,0.127025870587085,0.365734375,0.39178515625,30979,81319,0.6114326809074074,0.00209051
2025-03-01,2025-03-01,More than Restaurant Consideration: Personal Care & Beauty,0.27203125,0.5917838362303665,256,-1.0,4.725,0.05905859375,0.10955228174557465,0.25897265625,0.318046875,30979,81319,0.7649118028374999,0.035059211
2025-03-01,2025-03-01,More than Restaurant Consideration: Pet Supplies,0.0706640625,0.46761545752380357,256,-1.0,3.397,0.00648828125,0.10342271842134954,0.2846953125,0.29123046875,30979,81319,0.57592666144375,0.013091616
2025-03-01,2025-03-01,More than Restaurant Consideration: Prepared Restaurant Food,0.02382421875,0.273407367471366,256,-1.0,1.641,0.01975,0.19463967715131633,0.4988984375,0.518671875,30979,81319,0.685724883117284,0.015980089
2025-03-01,2025-03-01,Unaided Brand Awareness (Any Mention),-0.05434765625,0.27644242785081646,256,-1.0,1.4,-0.03275390625,0.14887159220305773,0.4377265625,0.40490625,30979,81319,0.6039598020493827,0.02020965
2025-03-01,2025-03-01,Unaided Brand Awareness (Any Mention) - Amazon,-0.08556640625,0.4413434075819576,256,-1.0,2.714,-0.05045703125,0.18010419127569893,0.2833203125,0.23282031250000002,30979,81319,0.6483861578765432,0.018069272
2025-03-01,2025-03-01,Unaided Brand Awareness (Any Mention) - GrubHub,0.054546875,0.7847061231791824,256,-1.0,8.165,-0.005097656250000001,0.1274775267944219,0.12124609375,0.11616015625000001,30979,81319,0.5404349984679487,0.0
2025-03-01,2025-03-01,Unaided Brand Awareness (Any Mention) - Instacart,0.16281640625,0.57699314017431,256,-1.0,4.568,0.02620703125,0.1333096943850458,0.20390625,0.23015625,30979,81319,0.5342619928641975,0.006325114
2025-03-01,2025-03-01,Unaided Brand Awareness (Any Mention) - Uber Eats,0.05083203125,0.32045585041939034,256,-1.0,2.095,0.01034765625,0.10984438294730199,0.378765625,0.3890546875,30979,81319,0.5269968666296296,0.008990771
2025-03-01,2025-03-01,DashPass Worth,0.10537109375,0.4051300335723437,256,-1.0,2.714,0.0296171875,0.10874497030289022,0.2581875,0.287765625,30979,81319,0.6557473772012579,0.001311819
2025-03-01,2025-03-01,More than Restaurant Consideration: Baby Supplies,0.08351953125,0.39665102903272614,256,-1.0,2.298,0.01759375,0.15501837651976463,0.26323046875,0.280828125,30979,81319,0.5795604032,0.003194614
