CHANNEL,METRIC_NAME,TIME_PERIOD,LIFT_mean,LIFT_std,LIFT_count,DELTA_mean,EXPOSED_PERCENT_mean,CONTROL_PERCENT_mean,SIGNIFICANCE_LEVEL_mean,EXPOSED_POPULATION_sum,CONTROL_POPULATION_sum,CV,IS_CONSISTENT
OTT,More than Restaurant Aided Awareness: Health & Medicine,Unknown,-0.0241780398725,0.02987500690350053,4,0.18668181789,0.39417709905,0.20749528115,0.324809765775,6346,3602,1.2356256777241994,False
OTT,More than Restaurant Aided Awareness: Household Essentials,Unknown,-0.0112701627125,0.01305996984290946,4,0.1893467488735,0.3987860373,0.2094392884,0.195081365925,6346,3602,1.1588093425150237,False
OTT,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,Unknown,-0.00192946346,0.010514764383295416,4,0.23236547976849997,0.47674464665,0.24437916687499997,0.15427506489,6346,3602,5.449579430384971,False
OTT,More than Restaurant Aided Awareness: Personal Care & Beauty,Unknown,-0.02831579461,0.0385623265939059,4,0.16371202266,0.36089850245,0.19718647977499998,0.3349484133,6346,3602,1.3618663055384372,False
OTT,More than Restaurant Aided Awareness: Pet Supplies,Unknown,-0.0426049244775,0.0495396138292338,4,0.16934220717499998,0.377217280275,0.20787507312499998,0.420547779425,6346,3602,1.1627673194303176,False
OTT,More than Restaurant Aided Awareness: Prepared Restaurant Food,Unknown,-0.03111163508,0.04395700953475752,4,0.2601154598525,0.576448178825,0.316332718975,0.44898187342499996,6346,3602,1.412880082378413,False
OTT,More than Restaurant Consideration,Unknown,-0.005982223244,0.0076392338728438385,4,0.322139684504,0.6659874006,0.343847716125,0.20991133317500002,6346,3602,1.2769890994131277,False
OTT,More than Restaurant Consideration: Alcoholic Beverages,Unknown,0.029006287865,0.08090012648755998,4,0.1918982771975,0.371227405675,0.179329128475,0.38464816155000003,6346,3602,2.7890548030165867,False
OTT,More than Restaurant Consideration: Baby Supplies,Unknown,-0.040565185512500004,0.04684618923889119,4,0.131575238295,0.296592412775,0.165017174475,0.38051367162500005,6346,3602,1.1548372982161197,False
OTT,More than Restaurant Consideration: Flowers,Unknown,0.054966421187499996,0.1273638589354438,4,0.18112569181475002,0.334368942775,0.15324325095000002,0.3759625069,6346,3602,2.3171211838766723,False
OTT,More than Restaurant Consideration: Fresh Food & Produce,Unknown,0.0067714867335000005,0.00869526480910299,4,0.19262308060275002,0.385584071275,0.192960990675,0.09709562505,6346,3602,1.284099807223375,False
