CHANNEL,METRIC_CLEAN,LIFT_mean,LIFT_std,LIFT_count,LIFT_min,LIFT_max,DELTA_mean,DELTA_std,CONTROL__mean,EXPOSED__mean,CONTROL_N_sum,EXPOSED_N_sum,STATISTICAL_SIGNIFICANCE_mean,STATISTICAL_SIGNIFICANCE_min
Any,More than Restaurant Aided Awareness: Pet Supplies,0.01861979166666667,0.2942178311586233,192,-1.0,1.329,-0.007291666666666666,0.16832631091394712,0.3584583333333333,0.35117708333333336,15289,108034,0.4831668318761905,0.000672836
Digital,BA: Is a brand I trust,0.017916666666666668,0.2577429892675636,192,-1.0,1.923,0.016692708333333334,0.15071225087680923,0.5669114583333333,0.5836041666666666,16012,14533,0.5443948003291139,0.022921407
Digital,Affinity,0.017911458333333338,0.4144437734289028,192,-1.0,1.923,-0.007536458333333333,0.1929384480530751,0.38176041666666666,0.3742447916666667,16012,14533,0.5284473217435898,0.014883868
Any,More than Restaurant Consideration: Fresh Food & Produce,0.017453125,0.7172146953717549,192,-0.708,8.113,-0.01825,0.16179933923848536,0.3751302083333334,0.3568229166666667,15289,108034,0.6567804635238095,0.009153337
Social,DashPass Aided Awareness (DD users),0.016739583333333335,0.2279618891998708,192,-1.0,1.895,0.005921875,0.1561002468231427,0.7382291666666667,0.744140625,49711,148512,0.5855563869391892,0.012265179
Digital,Brand Familiarity,0.015343749999999998,0.3071658940261428,192,-1.0,1.667,-0.004348958333333333,0.18191793241743628,0.6889010416666667,0.6845364583333334,16012,14533,0.46827152468831174,0.020138909
Digital,More than Restaurant Aided Awareness: Alcoholic Beverages,0.012973958333333332,0.48232451367420237,192,-1.0,4.0,-0.022661458333333332,0.14801363660807035,0.3231354166666667,0.3004791666666667,16012,14533,0.4580060687594937,0.011847519
Social,DashPass Aided Awareness,0.012817708333333335,0.19641107948765543,192,-1.0,1.895,0.010458333333333333,0.14965981786045446,0.8301197916666667,0.8405468749999999,49711,148512,0.5025390031567164,0.001993784
Tv,BA: Makes my life easier,0.012171875,0.18877324173851004,192,-1.0,0.457,0.014187499999999999,0.15591804213712515,0.7668697916666667,0.7810104166666667,73537,88668,0.7570782595308642,0.002619251
Digital,BA: Has my favorite brands or stores,0.010718749999999999,0.24145632335142403,192,-1.0,0.758,0.01746354166666667,0.14041900172707988,0.5576458333333333,0.5751979166666666,16012,14533,0.6321535103417721,0.01527476
Any,More than Restaurant Aided Awareness: Household Essentials,0.008682291666666668,0.36349953815616737,192,-1.0,2.352,-0.007234375000000001,0.15488151953959936,0.37042187499999996,0.363203125,15289,108034,0.5415717669904762,0.012214862
Tv,Unaided Brand Awareness (First Mention),0.008458333333333333,0.3634439085946963,192,-1.0,3.0,-0.007869791666666667,0.10297739661483452,0.232171875,0.22430729166666666,73537,88668,0.5627333045370371,0.007675823
Any,DashPass Aided Awareness (DD users),0.004260416666666665,0.19566788534885723,192,-1.0,1.057,-0.003145833333333334,0.158603062709623,0.7068593750000001,0.7036979166666666,15289,108034,0.5376665735957447,0.008816245
