CAMPAIGN_COUNT,CONTROL_HITS,CONTROL_MISSES,CONTROL_PERCENT,CONTROL_POPULATION,CREATIVE_FORMAT_TYPES,DELTA,EXPOSED_HITS,EXPOSED_MISSES,EXPOSED_PERCENT,EXPOSED_POPULATION,LIFT,METRIC_ID,METRIC_NAME,SIGNIFICANCE_LEVEL,FILTER_ID
1,0,0,0,0,,0,0,0,0,0,0,1009176,DashPass Actions – Talked to others,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,1022756,Consideration (Top 2 Box),0,24968955
1,0,0,0,0,,0,0,0,0,0,0,1022757,First Choice Consideration,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,1059333,More than Restaurant Aided Awareness,0,24968955
1,0,0,0,0,,0,0,0,0,0,0,1059334,More than Restaurant Consideration,0,24968955
1,0,0,0,0,,0.439189189,130,50,0.439189189,296,0,1,Unaided Brand Awareness (Any Mention),0,24968965
1,0,0,0,0,,0.922297297,273,23,0.922297297,296,0,2,Aided Awareness,0,24968965
1,0,0,0,0,,0.804054054,238,35,0.804054054,296,0,6,Brand Favorability,0,24968965
1,0,0,0,0,,0.246621622,73,223,0.246621622,296,0,109095,Unaided Brand Awareness (First Mention),0,24968965
1,0,0,0,0,,0.625,185,88,0.625,296,0,239621,Affinity,0,24968965
1,0,0,0,0,,0.851351351,252,21,0.851351351,296,0,955538,Brand Familiarity,0,24968965
