CAMPAIGN_COUNT,CONTROL_HITS,CONTROL_MISSES,CONTROL_PERCENT,CONTROL_POPULATION,CREATIVE_FORMAT_TYPES,DELTA,EXPOSED_HITS,EXPOSED_MISSES,EXPOSED_PERCENT,EXPOSED_POPULATION,LIFT,METRIC_ID,METRIC_NAME,SIGNIFICANCE_LEVEL,FILTER_ID,FILTER_NAME,GROUP_NAME
1,106.751622677,141.411093354,0.4301678527,282,,0.01496672286,215,268,0.4451345756,483,0.03479275071,955925,More than Restaurant Aided Awareness: Fresh Food & Produce,0.3125741747,22237599,Site All Hits: YouTube,Site All Hits
1,96.299837887,151.862878144,0.3880511925,282,,0.009464335461,192,291,0.397515528,483,0.02438939924,955936,More than Restaurant Aided Awareness: Alcoholic Beverages,0.2039323021,22237599,Site All Hits: YouTube,Site All Hits
1,112.400965691,135.76175034,0.4529325254,282,,-0.02436109686,207,276,0.4285714286,483,-0.05378526711,955937,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,0.4876839313,22237599,Site All Hits: YouTube,Site All Hits
1,101.946064353,146.216651678,0.4108033067,282,,-0.04020289265,179,304,0.3706004141,483,-0.09786409212,955938,More than Restaurant Aided Awareness: Personal Care & Beauty,0.7296163917,22237599,Site All Hits: YouTube,Site All Hits
1,102.627419233,145.535296798,0.413548904,282,,0.004670557678,202,281,0.4182194617,483,0.0112938461,955939,More than Restaurant Aided Awareness: Household Essentials,0.1005968421,22237599,Site All Hits: YouTube,Site All Hits
1,104.271341622,143.891374409,0.420173277,282,,-0.07234719003,168,315,0.347826087,483,-0.1721841773,955940,More than Restaurant Aided Awareness: Flowers,0.9538790365,22237599,Site All Hits: YouTube,Site All Hits
1,88.613491774,159.549224257,0.3570781832,282,,-0.02374484985,161,322,0.3333333333,483,-0.06649762143,955941,More than Restaurant Aided Awareness: Baby Supplies,0.495765476,22237599,Site All Hits: YouTube,Site All Hits
1,94.967511117,153.195204914,0.3826824296,282,,-0.01415240894,178,305,0.3685300207,483,-0.03698212367,955942,More than Restaurant Aided Awareness: Pet Supplies,0.3037026077,22237599,Site All Hits: YouTube,Site All Hits
1,105.080522716,143.082193315,0.4234339646,282,,-0.06111512402,175,308,0.3623188406,483,-0.1443321253,955943,More than Restaurant Aided Awareness: Health & Medicine,0.9062398555,22237599,Site All Hits: YouTube,Site All Hits
1,113.582423031,134.580293,0.4576933427,282,,0.02884910037,235,248,0.4865424431,483,0.06303150534,955944,More than Restaurant Consideration: Prepared Restaurant Food,0.5591545403,22237599,Site All Hits: YouTube,Site All Hits
1,85.429132879,162.733583152,0.3442464454,282,,0.03256514879,182,301,0.3768115942,483,0.09459835888,955945,More than Restaurant Consideration: Fresh Food & Produce,0.6332922331,22237599,Site All Hits: YouTube,Site All Hits
1,82.406045318,165.756670713,0.3320645689,282,,0.03853584517,179,304,0.3706004141,483,0.116049253,955946,More than Restaurant Consideration: Alcoholic Beverages,0.7169966863,22237599,Site All Hits: YouTube,Site All Hits
